[2022-06-13T14:57:39.325Z]	<Kerri_Lemoie> agenda: https://lists.w3.org/Archives/Public/public-vc-edu/2022Jun/0012.html
[2022-06-13T15:59:30.600Z]	<Transcriber>	Kerri_Lemoie: Okay this is I one thing I just wanted to mention how to participate in this next book Fest so those who successfully met the requirements for this first one will receive this jmf DC edu plugfest batch and so to participate in the next one you must complete this batch right because this is the most basic part of the project right is to be able to display a verifiable credential batch so.
[2022-06-13T15:59:31.163Z]	<Transcriber>	Kerri_Lemoie: We will be going through.
[2022-06-13T15:59:40.841Z]	<Tim_Dutta_-_Entrustient>	Perfect! Thank you.
[2022-06-13T15:59:50.231Z]	<Transcriber>	Kerri_Lemoie: Sure that everything works right but also you know if you are interested in doing this you can still do this you can still participate in the second plugfest if you want to prove that you've met the requirements for this one so reach out to us if you're interested in that and we'll we'll get you going there.
[2022-06-13T15:59:50.975Z]	<Kerri_Lemoie>	q?
[2022-06-13T15:59:54.334Z]	<Transcriber>	Kerri_Lemoie: Are you have anything to add to that.
[2022-06-13T16:00:02.424Z]	<Transcriber>	Sharon_Leu: Nope that's it anyone can play.
[2022-06-13T16:00:04.654Z]	<Kerri_Lemoie>	ack Phil_T3
[2022-06-13T16:00:10.942Z]	<Transcriber>	Kerri_Lemoie: All right we want everyone to play hey Phil I'm going to try you again can you your town working.
[2022-06-13T16:00:24.655Z]	<Evan_Lally_(>	thank you!
[2022-06-13T16:00:29.757Z]	<Sharon_Leu>	Thanks!
[2022-06-13T16:00:37.948Z]	<Tim_Dutta_-_Entrustient>	Thank you!
[2022-06-13T16:00:38.526Z]	<Transcriber>	Kerri_Lemoie: Okay all right everybody thank you very much for joining us today I'm looking forward to the next one and all of our future meetings when one quick note is that we are not going to have our meeting next Monday to observe a Juneteenth so keep that in mind I will send out a reminder about that thank you everybody have a great week.
[2022-06-13T16:00:39.221Z]	<Evan_Lally_(>	you too

